novel_name,neg,neu,pos,compound
HOUSEOFHEINEBROTHERSINMUNICH,0.067,0.795,0.138,1.0
GEORGEWALKERATSUEZ,0.064,0.838,0.098,0.9998
THEMANWHOKEPTHISMONEYINABOX,0.062,0.836,0.102,0.9999
DOCTORTHORNE,0.078,0.786,0.137,1.0
THECHURCHOFENGLAND,0.064,0.809,0.127,1.0
SIRHARRYHOTSPUROFHUMBLETHWAITE,0.073,0.792,0.135,1.0
ARIDEACROSSPALESTINE,0.091,0.818,0.092,0.975
LINDATRESSEL,0.091,0.794,0.115,1.0
ORLEYFARM,0.08,0.794,0.126,1.0
BARCHESTERTOWERS,0.077,0.779,0.144,1.0
CASTLERICHMOND,0.083,0.793,0.124,1.0
FRAMLEYPARSONAGE,0.082,0.793,0.125,1.0
LORDPALMERSTON,0.088,0.797,0.115,1.0
STRUGGLESOFBROWNJONESANDROBINSON,0.075,0.81,0.114,1.0
THELASTCHRONICLEOFBARSET,0.079,0.804,0.116,1.0
THELANDLEAGUERS,0.086,0.802,0.112,1.0
WHYFRAUFROHMANNRAISEDHERPRICES,0.078,0.792,0.13,1.0
ANUNPROTECTEDFEMALEATTHEPYRAMIDS,0.089,0.777,0.135,1.0
THEMISTLETOEBOUGH,0.076,0.794,0.13,1.0
HARRYHEATHCOTEOFGANGOIL,0.085,0.826,0.089,0.9996
HUNTINGSKETCHES,0.085,0.804,0.111,1.0
THECLAVERINGS,0.08,0.789,0.13,1.0
PHINEASFINN,0.071,0.799,0.13,1.0
TALESOFALLCOUNTRIES,0.074,0.804,0.121,1.0
JOHNCALDIGATE,0.084,0.802,0.113,1.0
THEBELTONESTATE,0.078,0.8,0.122,1.0
KEPTINTHEDARK,0.094,0.777,0.129,1.0
LAMEREBAUCHE,0.076,0.804,0.12,1.0
AARONTROW,0.102,0.806,0.092,-0.9992
LOTTASCHMIDTandOTHERSTORIES,0.079,0.805,0.115,1.0
JOHNBULLONTHEGUADALQUIVIR,0.067,0.784,0.149,1.0
THEWAYWELIVENOW,0.077,0.796,0.127,1.0
COUSINHENRY,0.081,0.807,0.113,1.0
THEEUSTACEDIAMONDS,0.078,0.791,0.131,1.0
THETHREECLERKS,0.077,0.783,0.141,1.0
THEAMERICANSENATOR,0.077,0.809,0.113,1.0
LADYANNA,0.075,0.792,0.133,1.0
THEWARDEN,0.091,0.76,0.148,1.0
THESMALLHOUSEATALLINGTON,0.071,0.795,0.134,1.0
ANEYEFORANEYE,0.08,0.795,0.124,1.0
RALPHTHEHEIR,0.076,0.801,0.123,1.0
MARIONFAY,0.084,0.792,0.124,1.0
HEKNEWHEWASRIGHT,0.086,0.803,0.111,1.0
TRAVELLINGSKETCHES,0.082,0.778,0.139,1.0
CHRISTMASATTHOMPSONHAL,0.099,0.802,0.099,-0.8306
LAVENDEE,0.099,0.767,0.134,1.0
MISSMACKENZIE,0.082,0.799,0.119,1.0
CANYOUFORGIVEHER,0.082,0.799,0.119,1.0
THECHATEAUOFPRINCEPOLIGNAC,0.077,0.803,0.12,1.0
RETURNINGHOME,0.072,0.822,0.105,0.9999
THECOURTSHIPOFSUSANBELL,0.062,0.801,0.137,1.0
MISSSARAHJACKOFSPANISHTOWN,0.079,0.79,0.131,1.0
RACHELRAY,0.067,0.798,0.135,1.0
THEPRIMEMINISTER,0.078,0.8,0.122,1.0
NINABALATKA,0.075,0.799,0.126,1.0
THEFIXEDPERIOD,0.082,0.791,0.127,1.0
THEGOLDENLIONOFGRANPERE,0.068,0.8,0.132,1.0
PHINEASREDUX,0.09,0.792,0.118,1.0
THEMACDERMOTSOFBALLYCLORAN,0.1,0.796,0.104,0.9998
THEVICAROFBULLHAMPTON,0.0,0.0,0.0,0.0
THACKERAY,0.095,0.768,0.138,1.0
THEBERTRAMS,0.083,0.809,0.108,1.0
